profession_id,profession_lang,profession
ar_001,ar,طبيب
ar_002,ar,مهندس
ar_003,ar,معلم
ar_004,ar,محامي
ar_005,ar,ممرض
ar_006,ar,طيار
ar_007,ar,محاسب
ar_010,ar,ميكانيكي سيارات
ar_011,ar,نجار
ar_012,ar,حلاق
ar_013,ar,خياط
ar_014,ar,فلاح
ar_015,ar,كهربائي
ar_016,ar,مصور
ar_017,ar,طباخ
ar_018,ar,عامل بناء
ar_019,ar,سائق حافلة
ar_020,ar,شرطي
ar_021,ar,إطفائي
ar_022,ar,جزار
ar_023,ar,صيدلي
ar_024,ar,دهان
ar_025,ar,مدرب رياضي
ar_026,ar,غواص
ar_027,ar,مترجم فوري
ar_028,ar,رجل فضاء
ar_029,ar,قاضي
ar_030,ar,موسيقي
