profession_id,profession_lang,profession
en001,english,doctor
en002,english,nurse
en003,english,teacher
en004,english,professor
en005,english,engineer
en006,english,scientist
en007,english,lawyer
en008,english,judge
en009,english,manager
en010,english,director
en011,english,police officer
en012,english,soldier
en013,english,farmer
en014,english,driver
en015,english,mechanic
en016,english,electrician
en017,english,carpenter
en018,english,builder
en019,english,architect
en020,english,accountant
en021,english,banker
en022,english,artist
en023,english,musician
en024,english,actor
en025,english,entrepreneur
en026,english,chef
en027,english,cleaner
en028,english,security guard
en029,english,technician
en030,english,programmer
