profession_id,profession_lang,profession
ti_001,ti,ዶክተር
ti_002,ti,ነርስ
ti_003,ti,መምህር
ti_004,ti,ፕሮፌሰር
ti_005,ti,ኢንጂነር
ti_006,ti,ሳይንቲስት
ti_007,ti,ጠበቓ
ti_008,ti,ዳኛ
ti_009,ti,ኣካያዲ ስራሕ
ti_010,ti,ዳይረክተር
ti_011,ti,መራሒ
ti_012,ti,ፖሊስ
ti_013,ti,ወተሃደር
ti_014,ti,ሓረስታይ
ti_015,ti,መራሒ መኪና
ti_016,ti,መካኒክ
ti_017,ti,ኤሌክትሪሻን
ti_018,ti,ጸራቢ
ti_019,ti,ሃናጺ
ti_020,ti,ኣርኪቴክተር
ti_021,ti,ኣካውንታንት
ti_022,ti,ባንከኛ
ti_023,ti,ጸሓፊ
ti_024,ti,ጋዜጠኛ
ti_025,ti,ስነጥበባዊ
ti_026,ti,ሙዚቀኛ
ti_027,ti,ተዋሳኣይ
ti_028,ti,በዓል ሃፍቲ
ti_029,ti,ነጋዳይ
ti_030,ti,ዋና ኣካያዲ ስራሕ
ti_031,ti,ሚኒስተር
ti_032,ti,ፕረዚደንት
ti_033,ti,ሓጋዚ ነርስ
ti_034,ti,ሼፍ
ti_035,ti,ኣገልጋሊ
ti_036,ti,ጽሬት ዝገብር
ti_037,ti,ሓላዊ ጸጥታ
ti_038,ti,ቴክኒሻን
ti_039,ti,ፕሮግራመር
ti_040,ti,ኣማዕባሊ
ti_041,ti,ተመራማሪ
ti_042,ti,ተማሃራይ
ti_043,ti,ተቖጻጻሪ
ti_044,ti,ኣማኻሪ
ti_045,ti,ተንታኒ
