language,model,term,layer,proj,cosdiff
es,facebook/xlm-v-base,policía,0,-0.4358171224594116,-0.05269855260848999
es,facebook/xlm-v-base,policía,1,-1.2361795902252197,-0.05553874373435974
es,facebook/xlm-v-base,policía,2,-1.481429934501648,-0.035421550273895264
es,facebook/xlm-v-base,policía,3,-0.8759603500366211,-0.02003258466720581
es,facebook/xlm-v-base,policía,4,-0.6933194994926453,-0.018156588077545166
es,facebook/xlm-v-base,policía,5,-0.8779321312904358,-0.025779545307159424
es,facebook/xlm-v-base,policía,6,-0.8102102875709534,-0.019114673137664795
es,facebook/xlm-v-base,policía,7,-0.7733566164970398,-0.020690321922302246
es,facebook/xlm-v-base,policía,8,-0.7515990734100342,-0.016264140605926514
es,facebook/xlm-v-base,policía,9,-0.4939573407173157,-0.011683881282806396
es,facebook/xlm-v-base,policía,10,-0.7432488203048706,-0.009550273418426514
es,facebook/xlm-v-base,policía,11,-0.6418753862380981,-0.005895078182220459
es,facebook/xlm-v-base,policía,12,3.099766969680786,5.08427619934082e-05
es,facebook/xlm-v-base,artista,0,-0.008284464478492737,-0.005619257688522339
es,facebook/xlm-v-base,artista,1,0.3554394543170929,0.0081748366355896
es,facebook/xlm-v-base,artista,2,0.001435995101928711,-0.0011177659034729004
es,facebook/xlm-v-base,artista,3,0.5875948667526245,0.002072155475616455
es,facebook/xlm-v-base,artista,4,0.546229898929596,0.0056299567222595215
es,facebook/xlm-v-base,artista,5,0.662484884262085,0.01924043893814087
es,facebook/xlm-v-base,artista,6,1.4092011451721191,0.01200801134109497
es,facebook/xlm-v-base,artista,7,1.4852142333984375,0.006617546081542969
es,facebook/xlm-v-base,artista,8,1.2111717462539673,0.003590524196624756
es,facebook/xlm-v-base,artista,9,1.2477059364318848,0.005360722541809082
es,facebook/xlm-v-base,artista,10,1.022621989250183,0.0059493184089660645
es,facebook/xlm-v-base,artista,11,0.6844536066055298,0.004021048545837402
es,facebook/xlm-v-base,artista,12,3.101224660873413,-0.00012129545211791992
es,facebook/xlm-v-base,comerciante,0,1.375131607055664,0.1276952028274536
es,facebook/xlm-v-base,comerciante,1,1.9650646448135376,0.07093268632888794
es,facebook/xlm-v-base,comerciante,2,1.8363319635391235,0.040978968143463135
es,facebook/xlm-v-base,comerciante,3,2.0612916946411133,0.024958550930023193
es,facebook/xlm-v-base,comerciante,4,1.6851518154144287,0.0273398756980896
es,facebook/xlm-v-base,comerciante,5,1.3556804656982422,0.037798285484313965
es,facebook/xlm-v-base,comerciante,6,2.1028037071228027,0.021880030632019043
es,facebook/xlm-v-base,comerciante,7,2.3642382621765137,0.01812601089477539
es,facebook/xlm-v-base,comerciante,8,2.3293609619140625,0.015309333801269531
es,facebook/xlm-v-base,comerciante,9,2.229241132736206,0.01512157917022705
es,facebook/xlm-v-base,comerciante,10,1.6975934505462646,0.011980652809143066
es,facebook/xlm-v-base,comerciante,11,1.288884162902832,0.008476018905639648
es,facebook/xlm-v-base,comerciante,12,3.0712733268737793,5.8591365814208984e-05
es,facebook/xlm-v-base,periodista,0,0.2707991600036621,0.024145275354385376
es,facebook/xlm-v-base,periodista,1,0.2626143991947174,0.005533814430236816
es,facebook/xlm-v-base,periodista,2,-0.04018846154212952,-0.0019535422325134277
es,facebook/xlm-v-base,periodista,3,0.44592124223709106,0.0002804398536682129
es,facebook/xlm-v-base,periodista,4,0.2159399390220642,-0.0007030367851257324
es,facebook/xlm-v-base,periodista,5,0.2702512741088867,0.007249295711517334
es,facebook/xlm-v-base,periodista,6,0.6976410150527954,0.002368628978729248
es,facebook/xlm-v-base,periodista,7,0.8098140954971313,-0.001227259635925293
es,facebook/xlm-v-base,periodista,8,0.7275254726409912,-0.0010285377502441406
es,facebook/xlm-v-base,periodista,9,0.7219828367233276,0.0005055069923400879
es,facebook/xlm-v-base,periodista,10,0.5478035807609558,0.0020008087158203125
es,facebook/xlm-v-base,periodista,11,0.5974098443984985,0.0034213662147521973
es,facebook/xlm-v-base,periodista,12,3.1588826179504395,-2.5391578674316406e-05
es,facebook/xlm-v-base,piloto,0,0.9194775819778442,0.09518232941627502
es,facebook/xlm-v-base,piloto,1,1.451406478881836,0.05474862456321716
es,facebook/xlm-v-base,piloto,2,1.4031116962432861,0.03163272142410278
