language,model,layer,spearman_rho,spearman_p,n
es,facebook/xlm-v-base,0,0.9897400820793432,8.525621343276685e-22,26
es,facebook/xlm-v-base,1,0.9986320109439123,2.8160873611016944e-32,26
es,facebook/xlm-v-base,2,0.9999999999999999,2.3152321882724258e-189,26
es,facebook/xlm-v-base,3,0.999316005471956,6.899140240020818e-36,26
es,facebook/xlm-v-base,4,0.999316005471956,6.899140240020818e-36,26
es,facebook/xlm-v-base,5,0.999316005471956,6.899140240020818e-36,26
es,facebook/xlm-v-base,6,0.996580027359781,1.6611052256627366e-27,26
es,facebook/xlm-v-base,7,0.999316005471956,6.899140240020818e-36,26
es,facebook/xlm-v-base,8,0.9986320109439123,2.8160873611016944e-32,26
es,facebook/xlm-v-base,9,0.9979480164158685,3.641094799033917e-30,26
es,facebook/xlm-v-base,10,0.9999999999999999,2.3152321882724258e-189,26
es,facebook/xlm-v-base,11,0.9999999999999999,2.3152321882724258e-189,26
es,facebook/xlm-v-base,12,0.7585499316005471,7.104004025619717e-06,26
