language,model,term,layer,proj,cosdiff
es,microsoft/mdeberta-v3-base,policía,0,-0.47607421875,-0.03857421875
es,microsoft/mdeberta-v3-base,policía,1,-0.478759765625,-0.024169921875
es,microsoft/mdeberta-v3-base,policía,2,-1.32421875,-0.02490234375
es,microsoft/mdeberta-v3-base,policía,3,-1.5439453125,-0.02978515625
es,microsoft/mdeberta-v3-base,policía,4,-1.2158203125,-0.0234375
es,microsoft/mdeberta-v3-base,policía,5,-0.2230224609375,0.01123046875
es,microsoft/mdeberta-v3-base,policía,6,-0.58935546875,-0.02197265625
es,microsoft/mdeberta-v3-base,policía,7,-0.470947265625,-0.02001953125
es,microsoft/mdeberta-v3-base,policía,8,-0.54833984375,-0.01708984375
es,microsoft/mdeberta-v3-base,policía,9,-0.470458984375,-0.01318359375
es,microsoft/mdeberta-v3-base,policía,10,-0.73193359375,-0.015625
es,microsoft/mdeberta-v3-base,policía,11,-0.869140625,-0.009765625
es,microsoft/mdeberta-v3-base,policía,12,4.9375,-0.00048828125
es,microsoft/mdeberta-v3-base,artista,0,-0.0703125,0.013916015625
es,microsoft/mdeberta-v3-base,artista,1,-0.11041259765625,-0.0009765625
es,microsoft/mdeberta-v3-base,artista,2,-0.46337890625,-0.0029296875
es,microsoft/mdeberta-v3-base,artista,3,-0.336669921875,0.00927734375
es,microsoft/mdeberta-v3-base,artista,4,-0.291259765625,0.00927734375
es,microsoft/mdeberta-v3-base,artista,5,0.642578125,0.05419921875
es,microsoft/mdeberta-v3-base,artista,6,0.352783203125,0.03515625
es,microsoft/mdeberta-v3-base,artista,7,0.58154296875,0.03857421875
es,microsoft/mdeberta-v3-base,artista,8,0.43603515625,0.03271484375
es,microsoft/mdeberta-v3-base,artista,9,0.437255859375,0.0185546875
es,microsoft/mdeberta-v3-base,artista,10,0.1380615234375,0.021484375
es,microsoft/mdeberta-v3-base,artista,11,0.63916015625,0.0087890625
es,microsoft/mdeberta-v3-base,artista,12,8.4140625,0.01171875
es,microsoft/mdeberta-v3-base,comerciante,0,0.39404296875,0.0567626953125
es,microsoft/mdeberta-v3-base,comerciante,1,0.402099609375,0.039306640625
