language,model,layer,spearman_rho,spearman_p,n
es,microsoft/mdeberta-v3-base,0,0.9807618314736437,8.0456578592106e-18,25
es,microsoft/mdeberta-v3-base,1,0.9738360908041553,2.670469349965022e-16,25
es,microsoft/mdeberta-v3-base,2,0.9707468001638937,9.493854258133616e-16,25
es,microsoft/mdeberta-v3-base,3,0.9815243221324065,5.072191762100608e-18,25
es,microsoft/mdeberta-v3-base,4,0.9930716670986701,6.774505996088355e-23,25
es,microsoft/mdeberta-v3-base,5,0.9876875721431319,4.9120024136977236e-20,25
es,microsoft/mdeberta-v3-base,6,0.995574388259297,3.959157920917649e-25,25
es,microsoft/mdeberta-v3-base,7,0.9959565563940111,1.403957183041536e-25,25
es,microsoft/mdeberta-v3-base,8,0.9969198181545532,6.171129613779795e-27,25
es,microsoft/mdeberta-v3-base,9,0.9944198760193365,5.660919941515676e-24,25
es,microsoft/mdeberta-v3-base,10,0.9913349482436908,8.797516196398717e-22,25
es,microsoft/mdeberta-v3-base,11,0.9990376284942246,9.652160746565045e-33,25
es,microsoft/mdeberta-v3-base,12,0.9790263794865296,2.154024705511811e-17,25
