language,model,term,layer,proj,cosdiff
es,xlm-roberta-base,policía,0,0.05413860082626343,0.007784634828567505
es,xlm-roberta-base,policía,1,0.21707682311534882,0.018982768058776855
es,xlm-roberta-base,policía,2,-0.5194944143295288,0.011058688163757324
es,xlm-roberta-base,policía,3,-0.3329765200614929,0.0047342777252197266
es,xlm-roberta-base,policía,4,0.2247975766658783,0.006611347198486328
es,xlm-roberta-base,policía,5,0.20950710773468018,0.003705441951751709
es,xlm-roberta-base,policía,6,0.9694189429283142,0.0006783008575439453
es,xlm-roberta-base,policía,7,1.1405038833618164,0.0009152889251708984
es,xlm-roberta-base,policía,8,1.045234203338623,0.004396557807922363
es,xlm-roberta-base,policía,9,2.0860252380371094,0.004026472568511963
es,xlm-roberta-base,policía,10,0.3850739002227783,0.0007151365280151367
es,xlm-roberta-base,policía,11,0.1722475290298462,-0.0011131763458251953
es,xlm-roberta-base,policía,12,0.08722725510597229,6.270408630371094e-05
es,xlm-roberta-base,artista,0,0.3269129693508148,0.03914320468902588
es,xlm-roberta-base,artista,1,0.0951685979962349,0.01612842082977295
es,xlm-roberta-base,artista,2,-0.7227663993835449,0.009580552577972412
es,xlm-roberta-base,artista,3,-0.01581302285194397,0.008790135383605957
es,xlm-roberta-base,artista,4,0.656157910823822,0.01209789514541626
es,xlm-roberta-base,artista,5,0.9471890330314636,0.01187974214553833
es,xlm-roberta-base,artista,6,2.2228710651397705,0.014700353145599365
es,xlm-roberta-base,artista,7,2.3629395961761475,0.013476073741912842
es,xlm-roberta-base,artista,8,2.2113895416259766,0.01585763692855835
es,xlm-roberta-base,artista,9,3.084005117416382,0.013295114040374756
es,xlm-roberta-base,artista,10,1.5121533870697021,0.010057628154754639
es,xlm-roberta-base,artista,11,1.4152772426605225,0.0074356794357299805
es,xlm-roberta-base,artista,12,0.2857668399810791,0.0006545782089233398
es,xlm-roberta-base,comerciante,0,0.3118261694908142,0.05357496440410614
es,xlm-roberta-base,comerciante,1,0.012213990092277527,0.014895439147949219
es,xlm-roberta-base,comerciante,2,-1.0540624856948853,0.005133330821990967
es,xlm-roberta-base,comerciante,3,-0.28099536895751953,0.006093859672546387
es,xlm-roberta-base,comerciante,4,0.6144675016403198,0.012476086616516113
es,xlm-roberta-base,comerciante,5,0.5465184450149536,0.007761359214782715
es,xlm-roberta-base,comerciante,6,1.7589608430862427,0.009630322456359863
es,xlm-roberta-base,comerciante,7,2.0614840984344482,0.01016247272491455
es,xlm-roberta-base,comerciante,8,1.6533424854278564,0.010587990283966064
es,xlm-roberta-base,comerciante,9,2.693655490875244,0.01092308759689331
es,xlm-roberta-base,comerciante,10,1.2233792543411255,0.008306384086608887
es,xlm-roberta-base,comerciante,11,0.8546478748321533,0.003967702388763428
es,xlm-roberta-base,comerciante,12,0.3332042396068573,0.000803828239440918
es,xlm-roberta-base,periodista,0,0.05251923203468323,0.007632404565811157
es,xlm-roberta-base,periodista,1,-0.07154467701911926,0.0074443817138671875
es,xlm-roberta-base,periodista,2,-0.9164770841598511,0.00420612096786499
es,xlm-roberta-base,periodista,3,-0.5863666534423828,0.001863718032836914
es,xlm-roberta-base,periodista,4,0.20329909026622772,0.006387174129486084
es,xlm-roberta-base,periodista,5,0.4580443501472473,0.006449520587921143
es,xlm-roberta-base,periodista,6,1.4171111583709717,0.00605541467666626
es,xlm-roberta-base,periodista,7,1.820774793624878,0.007843315601348877
es,xlm-roberta-base,periodista,8,1.55418860912323,0.009477972984313965
es,xlm-roberta-base,periodista,9,2.560235023498535,0.008853673934936523
es,xlm-roberta-base,periodista,10,0.9454284906387329,0.0054285526275634766
es,xlm-roberta-base,periodista,11,0.8351151347160339,0.003475368022918701
es,xlm-roberta-base,periodista,12,0.12770135700702667,0.00018233060836791992
es,xlm-roberta-base,piloto,0,0.690515398979187,0.07977345585823059
es,xlm-roberta-base,piloto,1,0.7557401061058044,0.04359784722328186
es,xlm-roberta-base,piloto,2,0.0528566837310791,0.02099168300628662
es,xlm-roberta-base,piloto,3,0.6051918864250183,0.015136957168579102
es,xlm-roberta-base,piloto,4,1.4907282590866089,0.022488892078399658
es,xlm-roberta-base,piloto,5,1.4049603939056396,0.017026841640472412
es,xlm-roberta-base,piloto,6,2.2917678356170654,0.016659021377563477
es,xlm-roberta-base,piloto,7,2.6396031379699707,0.0163729190826416
es,xlm-roberta-base,piloto,8,2.3302555084228516,0.01702028512954712
es,xlm-roberta-base,piloto,9,3.3316774368286133,0.01641106605529785
es,xlm-roberta-base,piloto,10,1.2962241172790527,0.008285760879516602
es,xlm-roberta-base,piloto,11,1.0049116611480713,0.004669308662414551
es,xlm-roberta-base,piloto,12,0.36567357182502747,0.0008950233459472656
es,xlm-roberta-base,cantante,0,0.13350345194339752,0.017015278339385986
