language,model,layer,spearman_rho,spearman_p,n
es,xlm-roberta-base,0,0.9730665640631011,3.7130403854977626e-16,25
es,xlm-roberta-base,1,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-base,2,0.9953828395536743,6.439012707235935e-25,25
es,xlm-roberta-base,3,0.9999999999999999,1.586425303066468e-181,25
es,xlm-roberta-base,4,0.9938437860715659,1.7473457326934473e-23,25
es,xlm-roberta-base,5,0.9984609465178914,2.1300520416633297e-30,25
es,xlm-roberta-base,6,0.9976914197768371,2.2481441754667114e-28,25
es,xlm-roberta-base,7,0.9915352058484033,6.729797017458193e-22,25
es,xlm-roberta-base,8,0.9930742593305115,6.745499102197284e-23,25
es,xlm-roberta-base,9,0.9869180454020777,9.826939459874194e-20,25
es,xlm-roberta-base,10,0.9861485186610234,1.8891474883137413e-19,25
es,xlm-roberta-base,11,0.9930742593305115,6.745499102197284e-23,25
es,xlm-roberta-base,12,0.9999999999999999,1.586425303066468e-181,25
