language,model,term,layer,proj,cosdiff
es,xlm-roberta-large,policía,0,-0.3138415515422821,-0.0026675760746002197
es,xlm-roberta-large,policía,1,-0.29779669642448425,-0.003155827522277832
es,xlm-roberta-large,policía,2,-0.37468457221984863,-0.0032576322555541992
es,xlm-roberta-large,policía,3,0.059755921363830566,-0.0021966099739074707
es,xlm-roberta-large,policía,4,0.5759503841400146,-0.0016410350799560547
es,xlm-roberta-large,policía,5,-0.13373225927352905,-0.0014200210571289062
es,xlm-roberta-large,policía,6,-0.19506657123565674,-0.0027843117713928223
es,xlm-roberta-large,policía,7,-0.6554276943206787,-0.0029011964797973633
es,xlm-roberta-large,policía,8,-0.4471892714500427,-0.00211179256439209
es,xlm-roberta-large,policía,9,-0.3018016815185547,-0.0006412267684936523
es,xlm-roberta-large,policía,10,-0.08304798603057861,-0.0006468296051025391
es,xlm-roberta-large,policía,11,-0.7144233584403992,-0.004006087779998779
es,xlm-roberta-large,policía,12,-0.12314397096633911,-0.002832472324371338
es,xlm-roberta-large,policía,13,-0.10107207298278809,-0.0025125741958618164
es,xlm-roberta-large,policía,14,0.6770569086074829,-0.001752018928527832
es,xlm-roberta-large,policía,15,0.6067196726799011,-0.0017309188842773438
es,xlm-roberta-large,policía,16,0.8511879444122314,-0.0001513957977294922
es,xlm-roberta-large,policía,17,0.40116727352142334,-0.00026869773864746094
es,xlm-roberta-large,policía,18,0.11530911922454834,-0.0003040432929992676
es,xlm-roberta-large,policía,19,0.5651304721832275,0.0018180608749389648
es,xlm-roberta-large,policía,20,0.5544764995574951,-1.245737075805664e-05
es,xlm-roberta-large,policía,21,0.35531389713287354,0.0008922219276428223
es,xlm-roberta-large,policía,22,-0.25423556566238403,-0.0006455779075622559
es,xlm-roberta-large,policía,23,-0.6610878109931946,-0.0028118491172790527
es,xlm-roberta-large,policía,24,-0.1825016885995865,-7.241964340209961e-05
es,xlm-roberta-large,artista,0,0.1166485846042633,0.008732199668884277
es,xlm-roberta-large,artista,1,0.5597635507583618,0.008290648460388184
es,xlm-roberta-large,artista,2,0.5149686932563782,0.006076216697692871
es,xlm-roberta-large,artista,3,1.0212806463241577,0.007351994514465332
es,xlm-roberta-large,artista,4,1.5591168403625488,0.005582869052886963
es,xlm-roberta-large,artista,5,0.5159305334091187,0.0032921433448791504
