language,model,layer,spearman_rho,spearman_p,n
es,xlm-roberta-large,0,0.9861485186610234,1.8891474883137413e-19,25
es,xlm-roberta-large,1,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-large,2,0.9992304732589457,7.381765779026122e-34,25
es,xlm-roberta-large,3,0.9976914197768371,2.2481441754667114e-28,25
es,xlm-roberta-large,4,0.9930742593305115,6.745499102197284e-23,25
es,xlm-roberta-large,5,0.9946133128126201,3.776501638985317e-24,25
es,xlm-roberta-large,6,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-large,7,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-large,8,0.9992304732589457,7.381765779026122e-34,25
es,xlm-roberta-large,9,0.9953828395536743,6.439012707235935e-25,25
es,xlm-roberta-large,10,0.9992304732589457,7.381765779026122e-34,25
es,xlm-roberta-large,11,0.9984609465178914,2.1300520416633297e-30,25
es,xlm-roberta-large,12,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-large,13,0.9830704116968063,1.870651766463176e-18,25
es,xlm-roberta-large,14,0.9915352058484033,6.729797017458193e-22,25
es,xlm-roberta-large,15,0.9946133128126201,3.776501638985317e-24,25
es,xlm-roberta-large,16,0.9869180454020777,9.826939459874194e-20,25
es,xlm-roberta-large,17,0.9915352058484033,6.729797017458193e-22,25
es,xlm-roberta-large,18,0.9999999999999999,1.586425303066468e-181,25
es,xlm-roberta-large,19,0.9876875721431319,4.9120024136977236e-20,25
es,xlm-roberta-large,20,0.9969218930357829,6.1235541007809666e-27,25
es,xlm-roberta-large,21,0.9992304732589457,7.381765779026122e-34,25
es,xlm-roberta-large,22,0.9992304732589457,7.381765779026122e-34,25
es,xlm-roberta-large,23,0.9923047325894575,2.2573865232408894e-22,25
es,xlm-roberta-large,24,0.9999999999999999,1.586425303066468e-181,25
